"","x"
"983",0.305010094927598
"984",0.01
"985",0.402651357434302
"986",0.437873125272876
"987",0.483337595357955
"988",0.556675669113441
"989",0.0491414213235606
"990",0.916245581931933
"991",0.360620968674687
"992",0.371361181561844
"993",0.725935578866213
"994",0.581947988834743
"995",0.681262694448193
"996",0.911571383063819
"997",0.401501205795592
"998",0.622287000314953
"999",0.369841167364478
"1000",0.917780888350686
"1001",0.435228875636265
"1002",0.368429753567263
"1003",0.660038530433494
"1004",0.454781208390556
"1005",0.914029689740229
"1006",0.888967182537788
"1007",0.894885165099012
"1008",0.459090882461994
"1009",0.882213439242484
"1010",0.233169367147953
"1011",0.836304984429657
"1012",0.442934093824424
"1013",0.911671729225952
"1014",0.0178897452999024
"1015",0.95545848302637
"1016",0.966636789945453
"1017",0.91390721810347
"1018",0.721777642997145
"1019",0.61577916710639
"1020",0.833842264952656
"1021",0.206537013440013
"1022",0.882205010709576
"1023",0.479208991939718
"1024",0.805280218482681
"1025",0.91640300496795
"1026",0.931957502441467
"1027",0.924928073364825
"1028",0.424441531952881
"1029",0.593985905527281
"1030",0.479136544092732
"1031",0.885172506125525
"1032",0.913948942725282
"1033",0.642658754241286
"1034",0.932072628396127
"1035",0.332462621473609
"1036",0.576731972825568
"1037",0.904242590867886
"1038",0.711487761656216
"1039",0.91677349751458
"1040",0.0942342382979862
"1041",0.486066671476251
"1042",0.854006618204377
"1043",0.924729561113998
"1044",0.633275561662816
"1045",0.695718786552817
"1046",0.480981082390136
"1047",0.551327642814239
"1048",0.456425594766901
"1049",0.254549778109635
"1050",0.743892087871138
"1051",0.0952286135115188
"1052",0.935444106801589
"1053",0.939862557943276
"1054",0.920471347635616
"1055",0.437985334296861
"1056",0.811813439735261
"1057",0.130910140230851
"1058",0.917107948579755
"1059",0.0969905287862132
"1060",0.364619383542387
"1061",0.836502759024555
"1062",0.967208278053855
"1063",0.959314407571
"1064",0.774482120398437
"1065",0.955087193458655
"1066",0.953581104060473
"1067",0.810268738093132
"1068",0.724686369376889
"1069",0.902571949135423
"1070",0.786264343191227
"1071",0.909799266529844
"1072",0.533682306161868
"1073",0.936493215185211
"1074",0.790397807941535
"1075",0.73721470849279
"1076",0.912719210205714
"1077",0.856453528889108
"1078",0.657227573003924
"1079",0.683395328299073
"1080",0.759106241936602
"1081",0.903231364703681
"1082",0.944914905784765
"1083",0.927797608734362
"1084",0.333479688073846
"1085",0.956793252587633
"1086",0.81318937105272
"1087",0.927898661488101
"1088",0.954010536491506
"1089",0.783999582196636
"1090",0.855249485707197
"1091",0.760118849215307
"1092",0.898958972740008
"1093",0.744060552191024
"1094",0.529047542807888
"1095",0.761112097951314
"1096",0.916482064814871
"1097",0.557156019515405
"1098",0.78459837113999
"1099",0.557587494080848
"1100",0.916404322469091
"1101",0.795251003084867
"1102",0.51652186933538
"1103",0.688627404593514
"1104",0.802906939248906
"1105",0.940589360560097
"1106",0.883915069287942
"1107",0.945962807347669
"1108",0.554198501074041
"1109",0.622328506283161
"1110",0.903829893852988
"1111",0.93963506070339
"1112",0.557352050797088
"1113",0.695865899746876
"1114",0.926125083886597
"1115",0.610538366160959
"1116",0.681111321426235
"1117",0.910586682919014
"1118",0.718012852080597
"1119",0.494569489894438
"1120",0.893674534164958
"1121",0.01
"1122",0.830537743083705
"1123",0.926329619182969
"1124",0.940436957978461
"1125",0.918556939446562
"1126",0.604833315868349
"1127",0.764237549707523
"1128",0.551051668484634
"1129",0.847016266822377
"1130",0.85261534213724
"1131",0.93768223225293
"1132",0.784138692443522
"1133",0.466556557227055
"1134",0.773830421465244
"1135",0.65211104750968
"1136",0.539195577021259
"1137",0.950187307987527
"1138",0.583380276484881
"1139",0.01
"1140",0.762205262711634
"1141",0.880729187593206
"1142",0.25333513388505
"1143",0.936749482514953
"1144",0.901361368932229
"1145",0.740721777868617
"1146",0.753310338086378
"1147",0.636266108962151
"1148",0.479014644308132
"1149",0.709609838920465
"1150",0.905201668480927
"1151",0.846948742076277
"1152",0.926924956584495
"1153",0.895293777971873
"1154",0.744762089110794
"1155",0.912922331104613
"1156",0.478766529412709
"1157",0.78020101266969
"1158",0.397629341853763
"1159",0.421884326888365
"1160",0.743126938945179
"1161",0.82068352893839
"1162",0.247378773946699
"1163",0.830050217488914
"1164",0.839601029319142
"1165",0.803342795934887
"1166",0.516507908129742
"1167",0.612943297223167
"1168",0.902511674348633
"1169",0.905681738688874
"1170",0.982305761071496
"1171",0.637946715040273
"1172",0.484705855349027
"1173",0.303130324112818
"1174",0.903656311829257
"1175",0.954080759127538
"1176",0.926685759763385
"1177",0.867092956759089
"1178",0.414834303347253
"1179",0.923207662310397
"1180",0.926620557365567
"1181",0.939796787669598
"1182",0.934442709523519
"1183",0.0216479951672506
"1184",0.901090619156441
"1185",0.904818240165311
"1186",0.907630393716951
